Rk,Player,From,To,Yrs,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,ID
259,Chris Jensen,1990,1992,3,21,2,1,3,-7,4,2,0,0,0,1,0,0,24,8.3,,,jensech01
260,Jim Johnson,1968,1972,5,266,66,102,168,-38,67,51,10,5,9,85,14,3,534,12.4,,,johnsji01
261,Kim Johnsson,2002,2006,4,291,40,107,147,44,140,23,17,0,6,50,56,1,595,6.7,6898,11:42:00 PM,johnski01
262,Blair Jones,2015,2015,1,4,0,0,0,-4,2,0,0,0,0,0,0,0,0,,28,06:55:00 AM,jonesbl01
263,Brad Jones,1992,1992,1,48,7,10,17,-2,44,7,0,0,1,9,0,1,67,10.4,,,jonesbr01
264,Keith Jones,1999,2001,3,131,27,47,74,32,164,24,3,0,3,42,5,0,227,11.9,1986,03:10:00 PM,joneske01
265,Randy Jones,2004,2009,5,217,13,56,69,-3,134,11,2,0,2,35,19,2,241,5.4,3817,05:35:00 PM,jonesra01
266,Lars Jonsson,2007,2007,1,8,0,2,2,-4,6,0,0,0,0,0,2,0,4,0,99,12:25:00 PM,jonssla01
267,Chris Joseph,1998,1999,2,17,1,0,1,1,21,1,0,0,1,0,0,0,21,4.8,289,144:40:00,josepch01
268,Eddie Joyal,1972,1972,1,26,3,4,7,-13,8,1,2,0,0,4,0,0,41,7.3,,,joyaled01
269,Patrik Juhlin,1995,1996,2,56,7,6,13,-9,23,6,1,0,1,5,1,0,58,12.1,,,juhlipa01
270,Jon Kalinski,2009,2010,2,22,1,4,5,-4,0,1,0,0,1,4,0,0,16,6.3,161,07:19:00 AM,kalinjo01
271,Tomi Kallio,2003,2003,1,7,1,0,1,-1,2,1,0,0,0,0,0,0,5,20,66,09:29:00 AM,kallito01
272,Boyd Kane,2004,2009,3,23,0,2,2,-8,35,0,0,0,0,2,0,0,13,0,182,07:55:00 AM,kanebo01
273,Sami Kapanen,2003,2008,5,311,44,66,110,-34,70,30,6,8,7,49,14,3,558,7.9,5105,04:25:00 PM,kapansa01
274,David Kaše,2020,2021,2,7,1,0,1,1,0,1,0,0,1,0,0,0,5,20,70,09:57:00 AM,kaseda01
275,Steve Kasper,1992,1993,2,37,4,5,9,-7,12,2,0,2,0,5,0,0,22,18.2,,,kaspest01
276,Pat Kavanagh,2006,2006,1,8,0,0,0,-2,2,0,0,0,0,0,0,0,1,0,42,05:14:00 AM,kavanpa01
277,Larry Keenan,1972,1972,1,14,1,1,2,-4,2,0,1,0,1,0,1,0,13,7.7,,,keenala01
278,Bob Kelly,1971,1980,10,741,128,168,296,134,1285,122,6,0,24,161,7,0,1076,11.9,,,kellybo02
279,Forbes Kennedy,1968,1969,2,132,18,25,43,-20,325,16,1,1,3,22,0,3,164,11,,,kennefo01
280,Tim Kerr,1981,1991,11,601,363,287,650,93,577,219,144,0,44,186,101,0,1881,19.3,,,kerrti01
281,Orest Kindrachuk,1973,1978,6,360,79,181,260,117,465,62,11,6,14,142,35,4,708,11.2,,,kindror01
282,Trent Klatt,1996,1999,4,209,41,57,98,13,57,26,10,5,9,45,10,2,340,12.1,1481,740:22:00,klatttr01
283,Corban Knight,2019,2019,1,23,1,3,4,-5,0,1,0,0,0,3,0,0,15,6.7,223,09:41:00 AM,knighco01
284,Mike Knuble,2006,2013,5,338,118,111,229,25,290,65,50,3,17,67,43,1,758,15.6,6327,06:43:00 PM,knublmi01
285,Matthew Konan,2013,2013,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,32,03:56:00 PM,konanma01
286,Travis Konecny,2017,2024,8,525,159,206,365,-19,381,125,27,7,22,153,50,3,1262,12.6,8648,04:28:00 PM,konectr01
287,Dan Kordic,1992,1999,6,197,4,8,12,-4,584,4,0,0,0,8,0,0,62,6.5,198,99:00:00,kordida01
288,Andrei Kovalenko,1999,1999,1,13,0,1,1,-5,2,0,0,0,0,0,1,0,8,0,104,08:02:00 AM,kovalan01
289,Lukáš Krajíček,2010,2010,1,27,1,1,2,-10,14,1,0,0,0,1,0,0,25,4,458,04:58:00 PM,krajilu01
290,Pavel Kubina,2012,2012,1,17,0,4,4,-3,15,0,0,0,0,4,0,0,19,0,294,05:19:00 PM,kubinpa01
291,František Kučera,1997,1997,1,2,0,0,0,-2,2,0,0,0,0,0,0,0,2,0,,,kucerfr01
292,Lasse Kukkonen,2007,2009,3,95,1,6,7,0,56,1,0,0,0,4,2,0,50,2,1440,03:09:00 PM,kukkola01
293,Dale Kushner,1991,1992,2,82,10,13,23,-9,213,9,1,0,1,13,0,0,78,12.8,,,kushnda01
294,Normand Lacombe,1990,1991,2,92,11,22,33,-1,34,10,1,0,1,21,0,1,112,9.8,,,lacomno01
295,André Lacroix,1968,1971,4,245,72,98,170,-29,36,44,28,0,10,59,39,0,623,11.6,,,lacroan01
296,Daniel Lacroix,1997,1998,2,130,8,5,13,-1,298,7,1,0,0,5,0,0,82,9.8,272,,lacroda01
297,Tanner Laczynski,2021,2023,3,38,2,2,4,-5,2,2,0,0,0,2,0,0,29,6.9,364,09:35:00 AM,laczyta01
298,Claude Laforge,1968,1969,2,65,9,16,25,6,36,9,0,0,2,15,0,1,107,8.4,,,laforcl01
299,Serge Lajeunesse,1974,1975,2,6,0,0,0,1,2,0,0,0,0,0,0,0,8,0,,,lajeuse01
300,David Laliberte,2010,2010,1,11,2,1,3,1,6,2,0,0,1,1,0,0,8,25,86,07:47:00 AM,lalibda01
301,Mark Lamb,1994,1995,2,27,1,8,9,-2,18,1,0,0,1,7,1,0,26,3.8,,,lambma01
302,Mitch Lamoureux,1988,1988,1,3,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,,,lamoumi01
303,Daymond Langkow,1999,2001,3,209,41,86,127,5,130,29,11,1,10,58,27,1,521,7.9,3564,05:03:00 PM,langkda01
304,Jeff Lank,2000,2000,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,,26,01:06:00 PM,lankje01
305,Ian Laperrière,2010,2010,1,82,3,17,20,-1,162,3,0,0,0,16,0,1,53,5.7,1025,12:30:00 PM,laperia01
306,Claude Lapointe,2003,2004,2,56,7,5,12,7,48,6,0,1,1,5,0,0,46,15.2,620,11:04:00 AM,lapoicl01
307,Rick Lapointe,1977,1979,3,146,8,42,50,70,183,5,2,1,1,36,5,1,158,5.1,,,lapoiri01
308,Jiří Látal,1990,1992,3,92,12,36,48,-14,24,8,4,0,1,25,11,0,162,7.4,,,latalji01
309,Scott Laughton,2013,2024,11,556,85,130,215,-15,320,72,5,8,5,114,7,9,916,9.3,7950,02:18:00 PM,laughsc01
310,Oliver Lauridsen,2013,2015,2,16,2,1,3,-1,44,2,0,0,2,1,0,0,16,12.5,237,02:50:00 PM,lauriol01
311,Kirby Law,2001,2004,3,9,0,1,1,-1,4,0,0,0,0,1,0,0,1,0,56,06:11:00 AM,lawki01
312,Paul Lawless,1988,1988,1,8,0,5,5,0,0,0,0,0,0,5,0,0,10,0,,,lawlepa01
313,Reggie Leach,1975,1982,8,606,306,208,514,214,276,222,79,5,48,145,61,2,2195,13.9,,,leachre01
314,Vincent Lecavalier,2014,2016,3,133,28,30,58,-24,82,19,9,0,3,22,8,0,242,11.6,1835,01:48:00 PM,lecavvi01
315,John LeClair,1995,2004,10,649,333,310,643,197,337,231,102,0,61,229,81,0,2054,16.2,8515,11:16:00 PM,leclajo01
316,Guillaume Lefebvre,2002,2003,2,17,0,0,0,0,4,0,0,0,0,0,0,0,8,0,122,07:11:00 AM,lefebgu01
317,Jori Lehterä,2018,2019,2,89,4,7,11,-15,47,3,0,1,0,7,0,0,62,6.5,898,10:05:00 AM,lehtejo01
318,Taylor Leier,2016,2018,3,55,2,5,7,-8,10,2,0,0,0,5,0,0,58,3.4,546,09:56:00 AM,leierta01
319,Ville Leino,2010,2011,2,94,21,36,57,16,26,16,5,0,3,30,6,0,140,15,1462,03:33:00 PM,leinovi01
320,Brendan Lemieux,2023,2023,1,18,2,4,6,3,21,2,0,0,0,4,0,0,22,9.1,229,12:43:00 PM,lemiebr01
321,Bill Lesuk,1971,1972,2,123,24,25,49,-19,112,20,4,0,3,18,6,1,265,9.1,,,lesukbi01
322,Andreas Lilja,2012,2013,2,50,0,6,6,8,34,0,0,0,0,6,0,0,37,0,697,01:56:00 PM,liljaan01
323,Oskar Lindblom,2018,2022,5,263,50,47,97,-21,63,45,5,0,5,43,4,0,455,11,3726,02:10:00 PM,lindbos01
324,Eric Lindros*,1993,2000,8,486,290,369,659,188,946,202,82,6,37,246,121,2,1644,17.6,4245,33:42:00,lindrer01
325,Ken Linseman,1979,1990,5,269,73,184,257,49,585,62,7,4,6,132,51,1,595,12.3,,,linseke01
326,Andrei Lomakin,1992,1993,2,108,22,28,50,9,60,20,2,0,0,24,3,1,146,15.1,,,lomakan01
327,Ross Lonsberry,1972,1978,7,497,144,170,314,154,403,111,30,3,19,140,26,4,1240,11.6,,,lonsbro01
